venue,venue_chase_win_rate_final
AMI Stadium,0.5
Adelaide Oval,0.5
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,1.0
Arbab Niaz Stadium,1.0
Arun Jaitley Stadium,0.4444444444444444
"Arun Jaitley Stadium, Delhi",0.4642857142857143
Bangabandhu National Stadium,0.5
Barabati Stadium,0.5333333333333333
"Barabati Stadium, Cuttack",0.75
Barsapara Cricket Stadium,1.0
"Barsapara Cricket Stadium, Guwahati",0.4
Basin Reserve,1.0
Bay Oval,0.5
"Bay Oval, Mount Maunganui",0.0
"Beausejour Stadium, Gros Islet",0.6666666666666666
Bellerive Oval,1.0
"Bellerive Oval, Hobart",1.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.52
"Boland Bank Park, Paarl",0.0
"Boland Park, Paarl",0.3333333333333333
Brabourne Stadium,0.46153846153846156
"Brabourne Stadium, Mumbai",0.5294117647058824
"Brian Lara Stadium, Tarouba, Trinidad",0.0
Brisbane Cricket Ground,0.3333333333333333
"Brisbane Cricket Ground, Woolloongabba",0.42857142857142855
Buffalo Park,0.3333333333333333
Captain Roop Singh Stadium,0.5
"Captain Roop Singh Stadium, Gwalior",0.0
Carrara Oval,0.0
Central Broward Regional Park Stadium Turf Ground,0.3333333333333333
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",0.5
"City Oval, Pietermaritzburg",0.0
"Civil Service Cricket Club, Stormont",1.0
County Ground,0.5
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",0.0
"Darren Sammy National Cricket Stadium, Gros Islet",0.0
"Davies Park, Queenstown",1.0
De Beers Diamond Oval,0.6666666666666666
Dr DY Patil Sports Academy,0.5882352941176471
"Dr DY Patil Sports Academy, Mumbai",0.5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.5416666666666666
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0.5
Dubai International Cricket Stadium,0.6212121212121212
Eden Gardens,0.6021505376344086
"Eden Gardens, Kolkata",0.45161290322580644
Eden Park,0.7142857142857143
"Eden Park, Auckland",1.0
Edgbaston,0.4166666666666667
"Edgbaston, Birmingham",0.3333333333333333
Feroz Shah Kotla,0.5362318840579711
Gaddafi Stadium,0.6666666666666666
Galle International Stadium,0.0
Green Park,0.6428571428571429
"Green Park, Kanpur",1.0
Greenfield International Stadium,0.6666666666666666
"Greenfield International Stadium, Thiruvananthapuram",0.25
Hagley Oval,1.0
Harare Sports Club,0.5
Headingley,0.5
"Headingley, Leeds",1.0
Himachal Pradesh Cricket Association Stadium,0.6
"Himachal Pradesh Cricket Association Stadium, Dharamsala",0.6
Holkar Cricket Stadium,0.6875
"Holkar Cricket Stadium, Indore",0.2
Indian Petrochemicals Corporation Limited Sports Complex Ground,0.0
JSCA International Stadium Complex,0.5714285714285714
"JSCA International Stadium Complex, Ranchi",0.6
"Jade Stadium, Christchurch",1.0
Keenan Stadium,1.0
Kennington Oval,0.5454545454545454
"Kennington Oval, London",0.25
"Kensington Oval, Bridgetown",0.0
"Kensington Oval, Bridgetown, Barbados",0.6666666666666666
Khan Shaheb Osman Ali Stadium,1.0
Kingsmead,0.36
"Kingsmead, Durban",0.0
Kinrara Academy Oval,0.3333333333333333
"Kotambi Stadium, Vadodara",1.0
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",0.0
Lord's,0.375
"Lord's, London",0.25
M Chinnaswamy Stadium,0.5694444444444444
"M Chinnaswamy Stadium, Bengaluru",0.43478260869565216
M.Chinnaswamy Stadium,0.5555555555555556
MA Aziz Stadium,0.0
MA Chidambaram Stadium,0.45454545454545453
"MA Chidambaram Stadium, Chepauk",0.4166666666666667
"MA Chidambaram Stadium, Chepauk, Chennai",0.5263157894736842
Madhavrao Scindia Cricket Ground,0.25
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0.5
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",0.0
Maharani Usharaje Trust Cricket Ground,0.5
Maharashtra Cricket Association Stadium,0.5454545454545454
"Maharashtra Cricket Association Stadium, Pune",0.23529411764705882
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0.5
"Malahide, Dublin",0.5
Manuka Oval,0.0
McLean Park,0.3333333333333333
"McLean Park, Napier",0.0
Melbourne Cricket Ground,0.5
Moses Mabhida Stadium,0.0
Multan Cricket Stadium,1.0
Nahar Singh Stadium,1.0
Narendra Modi Stadium,0.7142857142857143
"Narendra Modi Stadium, Ahmedabad",0.4666666666666667
"Nassau County International Cricket Stadium, New York",0.6666666666666666
National Stadium,0.625
Nehru Stadium,0.46153846153846156
"Nehru Stadium, Fatorda",0.5
New Wanderers Stadium,0.4666666666666667
"New Wanderers Stadium, Johannesburg",0.0
Newlands,0.3333333333333333
"Newlands, Cape Town",0.75
"Niranjan Shah Stadium, Rajkot",1.0
OUTsurance Oval,0.5
Old Trafford,0.5714285714285714
"Old Trafford, Manchester",1.0
P Sara Oval,0.5
P Saravanamuttu Stadium,1.0
Pallekele International Cricket Stadium,0.5
Perth Stadium,0.5
"Providence Stadium, Guyana",0.75
Punjab Cricket Association IS Bindra Stadium,0.6
"Punjab Cricket Association IS Bindra Stadium, Mohali",0.6666666666666666
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.5
"Punjab Cricket Association Stadium, Mohali",0.6041666666666666
"Queen's Park Oval, Port of Spain",0.4166666666666667
"Queen's Park Oval, Port of Spain, Trinidad",0.3333333333333333
"Queen's Park Oval, Trinidad",0.5
Queens Sports Club,1.0
R Premadasa Stadium,0.35294117647058826
"R Premadasa Stadium, Colombo",0.46153846153846156
R.Premadasa Stadium,0.0
"R.Premadasa Stadium, Khettarama",0.75
Rajiv Gandhi International Stadium,0.4666666666666667
"Rajiv Gandhi International Stadium, Uppal",0.5932203389830508
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.5
Rangiri Dambulla International Stadium,0.7142857142857143
Rawalpindi Cricket Stadium,0.6666666666666666
Reliance Stadium,0.75
"Sabina Park, Jamaica",0.0
"Sabina Park, Kingston",0.5
"Sardar Patel (Gujarat) Stadium, Motera",1.0
Sardar Patel Stadium,0.0
"Sardar Patel Stadium, Motera",0.47368421052631576
Saurashtra Cricket Association Stadium,0.5
"Saurashtra Cricket Association Stadium, Rajkot",0.0
Sawai Mansingh Stadium,0.6730769230769231
"Sawai Mansingh Stadium, Jaipur",0.5555555555555556
Sector 16 Stadium,0.0
Seddon Park,0.75
Shaheed Veer Narayan Singh International Stadium,0.6666666666666666
"Shaheed Veer Narayan Singh International Stadium, Raipur",0.75
Sharjah Cricket Stadium,0.6428571428571429
Sheikh Zayed Stadium,0.5862068965517241
Shere Bangla National Stadium,0.6875
"Shere Bangla National Stadium, Mirpur",0.5
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",1.0
Sinhalese Sports Club Ground,0.0
"Sir Vivian Richards Stadium, Antigua",0.0
"Sir Vivian Richards Stadium, North Sound",0.2
"Sir Vivian Richards Stadium, North Sound, Antigua",0.0
Sophia Gardens,0.6
St George's Park,0.4
"St George's Park, Gqeberha",1.0
Stadium Australia,0.0
Subrata Roy Sahara Stadium,0.4117647058823529
SuperSport Park,0.65
"SuperSport Park, Centurion",0.6666666666666666
Sydney Cricket Ground,0.47368421052631576
The Rose Bowl,0.3333333333333333
"The Rose Bowl, Southampton",0.5
"The Village, Malahide",0.0
"The Village, Malahide, Dublin",0.5
The Wanderers Stadium,0.25
"The Wanderers Stadium, Johannesburg",0.5
Titwood,1.0
Trent Bridge,0.5555555555555556
"Trent Bridge, Nottingham",0.0
VRA Cricket Ground,0.0
Vidarbha C.A. Ground,0.0
Vidarbha Cricket Association Ground,0.0
"Vidarbha Cricket Association Stadium, Jamtha",0.3888888888888889
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",0.75
W.A.C.A. Ground,1.0
Wankhede Stadium,0.5632183908045977
"Wankhede Stadium, Mumbai",0.5161290322580645
"Warner Park, Basseterre",1.0
"Warner Park, Basseterre, St Kitts",1.0
Western Australia Cricket Association Ground,0.8571428571428571
"Westpac Park, Hamilton",1.0
Westpac Stadium,0.25
"Westpac Stadium, Wellington",1.0
"Windsor Park, Roseau, Dominica",1.0
Zahur Ahmed Chowdhury Stadium,0.0
"Zahur Ahmed Chowdhury Stadium, Chattogram",0.0
"Zayed Cricket Stadium, Abu Dhabi",0.5555555555555556
Zhejiang University of Technology Cricket Field,0.5
